code,level1,level2,level3,latitude,longitude
1123051500,서울특별시,동대문구,신설동,37.5739660,127.0257363
1123053300,서울특별시,동대문구,용두동,37.5758032,127.0372470
1123054500,서울특별시,동대문구,제기동,37.5830767,127.0377843
1123056000,서울특별시,동대문구,전농제1동,37.5752111,127.0498667
1123057000,서울특별시,동대문구,전농제2동,37.5817028,127.0538639
1123060000,서울특별시,동대문구,답십리제1동,37.5692750,127.0542222
1123061000,서울특별시,동대문구,답십리제2동,37.5691528,127.0615750
1123065000,서울특별시,동대문구,장안제1동,37.5649861,127.0684778
1123066000,서울특별시,동대문구,장안제2동,37.5684083,127.0753083
1123070500,서울특별시,동대문구,청량리동,37.5862586,127.0472767
1123071000,서울특별시,동대문구,회기동,37.5880083,127.0574889
1123072000,서울특별시,동대문구,휘경제1동,37.5901583,127.0678194
1123073000,서울특별시,동대문구,휘경제2동,37.5884944,127.0696556
1123074000,서울특별시,동대문구,이문제1동,37.5950000,127.0676306
1123075000,서울특별시,동대문구,이문제2동,37.5917306,127.0586194
1126000000,서울특별시,중랑구,,37.6038056,127.0947778
1126052000,서울특별시,중랑구,면목제2동,37.5869833,127.0811333
1126054000,서울특별시,중랑구,면목제4동,37.5718167,127.0876222
1126055000,서울특별시,중랑구,면목제5동,37.5830472,127.0817222
1126056500,서울특별시,중랑구,면목본동,37.5845611,127.0896778
1126057000,서울특별시,중랑구,면목제7동,37.5762000,127.0890861
1126057500,서울특별시,중랑구,면목제3.8동,37.5802361,127.0902194
1126058000,서울특별시,중랑구,상봉제1동,37.5970278,127.0892889
1126059000,서울특별시,중랑구,상봉제2동,37.5896111,127.0853889
1126060000,서울특별시,중랑구,중화제1동,37.5983861,127.0827778
1126061000,서울특별시,중랑구,중화제2동,37.5922167,127.0770222
1126062000,서울특별시,중랑구,묵제1동,37.6096222,127.0805861
1126063000,서울특별시,중랑구,묵제2동,37.6067972,127.0781444
1126065500,서울특별시,중랑구,망우본동,37.5986917,127.1084639
1126066000,서울특별시,중랑구,망우제3동,37.5895778,127.1002667
1126068000,서울특별시,중랑구,신내1동,37.6030833,127.1015528
1126069000,서울특별시,중랑구,신내2동,37.6034306,127.0962750
1129000000,서울특별시,성북구,,37.5863833,127.0203333
1129052500,서울특별시,성북구,성북동,37.5874417,127.0060861
1129055500,서울특별시,성북구,삼선동,37.5828472,127.0095556
1129057500,서울특별시,성북구,동선동,37.5912778,127.0225083
1129058000,서울특별시,성북구,돈암제1동,37.6005083,127.0282889
1129059000,서울특별시,성북구,돈암제2동,37.5952556,127.0127111
1129060000,서울특별시,성북구,안암동,37.5830583,127.0234778
1129061000,서울특별시,성북구,보문동,37.5775889,127.0249000
1129062000,서울특별시,성북구,정릉제1동,37.5986417,127.0187417
1129063000,서울특별시,성북구,정릉제2동,37.6016667,127.0132417
1129064000,서울특별시,성북구,정릉제3동,37.6061667,127.0062889
1129065000,서울특별시,성북구,정릉제4동,37.6107861,127.0082083
1129066000,서울특별시,성북구,길음제1동,37.6017833,127.0241667
1129068500,서울특별시,성북구,길음제2동,37.6038500,127.0294000
1129070500,서울특별시,성북구,종암동,37.5973306,127.0335528
1129071500,서울특별시,성북구,월곡제1동,37.6042028,127.0361417
1129072500,서울특별시,성북구,월곡제2동,37.5999417,127.0416889
1129076000,서울특별시,성북구,장위제1동,37.6111917,127.0458556
1129077000,서울특별시,성북구,장위제2동,37.6096639,127.0567083
1129078000,서울특별시,성북구,장위제3동,37.6137722,127.0587222
1129081000,서울특별시,성북구,석관동,37.6101611,127.0635194
1130500000,서울특별시,강북구,,37.6369556,127.0277194
1130553400,서울특별시,강북구,삼양동,37.6244833,127.0205111
1130553500,서울특별시,강북구,미아동,37.6241361,127.0290194
1130554500,서울특별시,강북구,송중동,37.6133611,127.0358333
1130555500,서울특별시,강북구,송천동,37.6155167,127.0259556
1130557500,서울특별시,강북구,삼각산동,37.6144306,127.0198528
1130559500,서울특별시,강북구,번1동,37.6351583,127.0310194
1130560300,서울특별시,강북구,번2동,37.6293861,127.0409444
1130560800,서울특별시,강북구,번3동,37.6230944,127.0486889
1130561500,서울특별시,강북구,수유1동,37.6307333,127.0192972
1130562500,서울특별시,강북구,수유2동,37.6418806,127.0220417
1130563500,서울특별시,강북구,수유3동,37.6359722,127.0253194
1130564500,서울특별시,강북구,우이동,37.6451944,127.0140667
1130566000,서울특별시,강북구,인수동,37.6387333,127.0127667
1132000000,서울특별시,도봉구,,37.6658333,127.0495222
1132051100,서울특별시,도봉구,창제1동,37.6456472,127.0459972
1132051200,서울특별시,도봉구,창제2동,37.6387278,127.0377667
1132051300,서울특별시,도봉구,창제3동,37.6352694,127.0450083
1132051400,서울특별시,도봉구,창제4동,37.6493972,127.0536667
1132051500,서울특별시,도봉구,창제5동,37.6492139,127.0412972
1132052100,서울특별시,도봉구,도봉제1동,37.6758194,127.0455111
1132052200,서울특별시,도봉구,도봉제2동,37.6670000,127.0487083
1132066000,서울특별시,도봉구,쌍문제1동,37.6452472,127.0281778
1132067000,서울특별시,도봉구,쌍문제2동,37.6550806,127.0409111
1132068000,서울특별시,도봉구,쌍문제3동,37.6461944,127.0300889
1132068100,서울특별시,도봉구,쌍문제4동,37.6536250,127.0305444
1132069000,서울특별시,도봉구,방학제1동,37.6614333,127.0427667
